equivocate	intentionally use vague language
Impervious	impossible to penetrate; incapable of being affected
Intractable	not easily managed or manipulated
fidelity	loyalty; exact correspondence
imprecation	curse; damnation
discerning	perceptive; exhibiting keen insight and good judgement
inveterate	confirmed; long standing
multifarious	diverse
malleable	capable of being shaped by pounding; impressionate
Palliate	to make less serious; ease
August	dignified; grandiose
sensual	relating to the senses, gratifying the physical (sexual) senses
Interregnum	period between reigns
insularity	narrow-mindedness; isolation
singular	unique, extraordinary, odd
log	record of a voyage; record of daily activities
expatriate	to send into exile
canard	false; deliberately misleading story
morose	ill-humored; sullen
Abeyance	temporary suppression or supension
propitiate	to win over, appease
fallacious	based on a false idea or fact; misleading
Numismatics	coin collecting
ambivalence	the state of having conflicting emotional attitudes
Ethos	beliefs or character of a group
ebullient	exhilarated; overly enthusiastic
miscreant	villain; criminal
appease	to calm, pacify, placate
Ignoble	having low moral standards; not noble in character; mean
bedizen	to dress in a vulgar, showy manner
metamorphosis	change; transformation
subside	to settle down, grow quiet
Arbitrary	determined by chance or impulse
Attenuate	to reduce in force or degree; weaken
stanch	to stop or check the flow of
Exacerbate	to make worse
ethnocentric	based on the attitude tha one's group is superior
asperity	severity; harshness; irritability
Apocryphal	of questionable authority or authenticity
Upbraid	to scold sharply
reprise	repetition, especially of a piece of music
vendetta	prolonged feud marked by bitter hostility
sobriety	seriousness
torpor	lethargy, dormancy, sluggishness
apex	the highest point
Maudlin	overly sentimental
motley	many colored; made up of many parts
Sobriquet	nickname
limn	to draw, describe
pique	fleeting feeling or hurt pride
engender	to cause; produce
precept	principle; law
sinuous	intricate, complex
Efficacy	effectiveness
inundate	to cover with water, overwhelm
Loquacious	talkative
Veracity	filled with truth and accuracy
capricous	fickle
Dissonance	a harsh and disagreeable combination, especially of sounds
gregarious	outgoing; sociable
Panoply	impressive array
Wraith	a ghost or specter; a ghost of a living person seen just before his or her death
luminous	bright; brilliant; glowing
Antipathy	extreme dislike
welter	wallow or roll, toss about, be in turmoil
Viscous	thick and adhesive, like a slow-flowing fluid
suppliant	beseeching
Obviate	to prevent; to make unnecessary
elicit	to provoke; draw out
Malinger	to evade responibilty by pretending to be ill
Approbation	approval and praise
subsume	to include, incorporate
canon	an established set of principles; a basis or standard for judgment; a group of literary works
