Abase	to humble; disgrace
Abate	to reduce in amount, degree, or severity
Abdicate	to give up a position, right, or power
Aberrant	deviating from what is normal or expected
Abeyance	temporary suppression or supension
Abjure	to reject; abandon formally
Abscond	to leave secretly
Abstain	to chose not to do something
Abstemious	moderate in appetite
Abyss	an extreely deep hole
Accretion	a growth in size; increase in amount
Acidulous	sour in taste or manner
Acme	highest point; summit; the highest level or degree attainable
Adulterate	to make impure
Advocate	to speak in favor of
Aerie	a nest built high in the air; an elevated, often secluded, dwelling
Aesthetic	concerning the appreciation of beauty
Affected	phony; artificial
Aggrandize	to increase in power, influence, and reputation
Alacrity	speed or quickness
Alleviate	to make more bearable
Amalgamate	to combine; to mix together
Ambiguous	doubtful or uncertain; can be interpreted several ways
Ameliorate	to make better; to improve
Amortize	to diminish by installment payments
Amulet	ornament worn as a charm against evil spirits
Anachronism	something out of place in time
Analgesia	a lessening of pain without loss of consciousness
Analogous	similar or alike insome way; equivalent to
Anodyne	something that calms or soothes pain
Anomaly	deviation from what is normal
Antagonize	to annoy or provoke to anger
Antipathy	extreme dislike
Apathy	lack of interest or emotion
Apocryphal	of questionable authority or authenticity
Apostate	one who renounces a religious faith
Approbation	approval and praise
Arbitrary	determined by chance or impulse
Arbitrate	to judge a dispute between two opposing parties
Archaic	ancient; old-fashioned
Ardor	intense and passionate feeling
Arrogate	to claim without justification; to claim for oneself without right
Articulate	able to speak clearly and expressively
Assail	to attack; assault
Assuage	to make something unpleasant less severe
Attenuate	to reduce in force or degree; weaken
Audacious	fearless and daring
Augury	prophecy; prediction of events
August	dignified; grandiose
Austere	severe or stern in appearance; undecorated
Axiom	premise; postulate; self-evident truth
Banal	predictable; cliched; boring
Belfry	bell tower; room in which a bell in hung
Bevy	group
Bifurcate	to divide into two parts
Bilk	to cheat; defraud
Blight	to afflict; destroy
Blithe	joyful; cheerful; or without appropriate thought
Bolster	to support; prop up
Bombastic	pompous in speech and manner
Bonhomie	good-natured geniality; atmosphere of good cheer
Boor	crude person, one lacking manners or taste
Burgeon	to grow and flourish
Burnish	to polish
Cabal	a secret group seeking to overturn something
Cacophony	harsh, jarring noise
Calumny	a false and malicious accusation; misrepresentation
Canard	a lie
Candid	impartial and honest in speech
Capricious	changing one's mind quickly and often
Cartography	science or art of making maps
Castigate	to punish or criticize harshly
Catalyst	something that brings about a change in something else
Catholic	universal broad and comprehensive
Caustic	biting in wit
Chaos	great disorder or confused situation
Chauvinist	someone prejudiced in favor of a group to which he or she belongs
Chicanery	deception by means of craft or guile
Circumspect	cautious; aware of potential consequences
Cloying	sickly sweet; excessive
Coalesce	to grow together to form a single whole
Coffer	strongbox; large chest for money
Cogent	convincing and well-reasoned
Collusion	collaboration; complicity; conspiracy
Condone	to overlook, pardon, or disregard
Connoisseur	a person with expert knowledge or discriminating tastes
Contrite	deeply sorrowful and repentatnt for a wrong
Contumacious	rebellious
Convoluted	intricate and complicated
Corroborate	to support with evidence
Cosset	to pamper; treat with great care
Coterie	an intimate group of persons with a similar purpose
Craven	lacking courage
Credulous	too trusting; gullible
Crescendo	steadily increasing in volume or force
Cupidity	greed; strong desire
Curmudgeon	cranky person, usually old
Debutante	young woman making debut in high society
Declivity	downward slope
Decorous	proper; tasteful; socially correct
Decorum	appropriateness of behavior or conduct; propriety
Deface	to mar the appearance of; vandalize
Deference	respect; courtesy
Deleterious	subtly or unexpectedly harmful
Demagogue	a leader or rabble-rouser, usually appealing to emotion or prejudice
Demur	to express doubts or objections
Deride	to speak of or treat with contempt; to mock
Desiccate	to dry out thoroughly
Desultory	jumping from one thing to another; disconnected
Diaphanous	allowing light to show through; delicate
Diatribe	an abusive, condemnatory speech
Dictum	authoritative statement
Diffident	lacking self-confidence
Dilate	to make larger; expand
Dilatory	intended to delay
Dilettante	someone with an amateurish and superficial interest in a topic
Dirge	a funeral hymn or mournful speech
Disabuse	to set right; free from error
Discern	to perceive or recognize
Disparate	fundamentally different; entirely unlike
Dissemble	to present a false appearance; to disguise one's real intentions or character
Dissonance	a harsh and disagreeable combination, especially of sounds
Distaff	the female branch of a family
Distend	to swell, inflate, or bloat
Dither	to act confusedly or without clear purpose
Diurnal	existing during the day
Divine	to foretell or know by inspiration
Doctrinaire	rigidly devoted to theories without regard for practicality; dogmatic
Dogma	a firmly held opinion, especially a religious belief
Dogmatic	dictatorial in one's opinions
Droll	amusing in a wry, subtle way
Dupe	to deceive; a person who is easily deceived
Dyspeptic	suffering from indigestion; gloomy and irritable
Ebullient	exhilarated; full of enthusiam and high spirits
Eclectic	selecting from or made up from a variety of soures
Edify	to instruct morally and spiritually
Efficacy	effectiveness
Effigy	stuffed doll; likeness of a person
Effrontery	impudent boldness; audacity
